generationNo,genotypeID,timeAlive,groupingScore,meanCommMagnitude,finalEnergy
55,0,19.104166666666146,0.3435104965011663,1.946167245728821,70.71041666666054
55,1,25.008333333332555,0.23521326224591801,2.268444130463437,67.36406249999312
55,2,21.830208333332738,0.309396867710763,1.8746631579720021,66.94687499999297
55,3,23.65833333333263,0.42269243585471505,2.2782618890236224,61.39374999999211
55,4,25.008333333332555,0.6158363878707097,2.5821145131528596,62.21041666665862
55,5,22.590624999999346,0.33393035654781733,2.093396512159047,62.04739583332585
55,6,20.907291666666122,0.5007497500833056,1.7602324249804444,67.85781249999292
55,7,24.304166666665928,0.5115378207264245,2.774977848232935,60.769270833325265
55,8,23.47187499999931,0.36737754081972673,2.3376392069012324,67.64427083332647
55,9,24.010416666665947,0.48875374875041655,2.1189099698458134,62.52291666665888
55,10,25.008333333332555,0.5352382539153616,2.296055985476867,62.02760416665835
55,11,25.008333333332555,0.3856214595134955,2.5498318991517372,66.444270833326
55,12,21.423958333332756,0.1671526157947351,2.2555617919469158,64.41822916665956
55,13,25.008333333332555,0.6219593468843719,2.722351067627804,56.684895833325214
55,14,20.059374999999505,0.3862045984671776,1.790055216631738,68.72135416665989
55,15,25.008333333332555,0.25370709763412197,2.611198105746604,58.34427083332507
55,16,22.860416666666012,0.3575891369543486,2.092887779006965,66.57447916665991
55,17,24.983333333332556,0.4163195601466178,2.26548793463186,64.61041666665948
55,18,23.415624999999313,0.36754415194935014,2.4615118379950753,63.71562499999274
55,19,22.81770833333268,0.5009580139953349,2.087343165236353,66.69322916665955
55,20,25.008333333332555,0.3626291236254582,2.6174115940018545,52.30572916665872
55,21,23.116666666665996,0.3989503498833722,2.1364602957743877,64.41614583332556
55,22,24.83124999999923,0.5849300233255581,2.2678494916720484,62.26979166665823
55,23,22.691666666666016,0.5927190936354548,2.4649888988508555,62.84166666665911
55,24,25.008333333332555,0.6007580806397868,2.2336100147666533,61.827083333325064
55,25,22.863541666666013,0.350674775074975,2.482382919860309,62.77135416665924
55,26,24.942708333332558,0.35554815061646117,2.686092808010955,64.27031249999321
55,27,23.524999999999306,0.46992669110296564,2.2825901510938134,62.38229166665879
55,28,25.008333333332555,0.3581306231256248,2.383842253403335,61.48749999999153
55,29,23.55416666666597,0.4917110963012329,2.2380098390657674,62.48177083332568
55,30,22.01145833333265,0.5225758080639786,2.2261390440781703,65.15572916665926
55,31,24.392708333332592,0.32930689770076643,2.313093779082896,60.96614583332693
