generationNo,genotypeID,timeAlive,groupingScore,meanCommMagnitude,finalEnergy
136,0,23.296874999999318,0.13045037955934086,2.7386049697018016,0.0
136,1,22.15885416666603,0.07093593778929828,2.6896094131227244,4.847916666666714
136,2,23.19791666666599,0.14732225513793742,2.7911388215223845,0.0
136,3,21.568229166666047,0.080714219588965,2.489004670263821,5.813541666666678
136,4,23.19322916666599,0.053242455100907235,2.7361525395154676,0.0
136,5,16.997916666666214,0.07055406406221068,2.0757169728866582,26.110937500000148
136,6,22.945833333332676,0.09597759674134418,2.74454909160756,0.0
136,7,21.757812499999407,0.12251203480836881,2.586028490608865,3.67916666666677
136,8,23.06406249999933,0.13792584706535826,2.7930463433808512,0.0
136,9,23.10468749999933,0.08468339196445103,2.853112003470964,0.0
136,10,21.610416666666048,0.1119121458989076,2.555316608050144,5.7395833333333535
136,11,21.396874999999373,0.16868403999259396,2.5952022440241462,10.748958333333379
136,12,22.733333333332684,0.0791172930938715,2.649637578029915,0.0
136,13,21.62552083333272,0.14578318829846326,2.5673015053782158,5.321875000000035
136,14,23.148437499999325,0.14405897056100722,2.814522687200553,0.0
136,15,23.277604166665988,0.08110766524717644,2.7288817129892977,0.0
