generationNo,genotypeID,timeAlive,groupingScore,meanCommMagnitude,finalEnergy
193,0,32.151041666665485,0.30420292538418814,4.032890757819655,0.0
193,1,30.806770833332223,0.17297722643954824,3.9264184065455248,4.766666666666353
193,2,31.698958333332175,0.23771060914645437,4.005689728453306,0.0
193,3,30.123958333332233,0.23619468616922792,3.8089322480499828,5.608333333333253
193,4,32.42135416666547,0.26706859840770225,4.149440817199192,0.0
193,5,29.890624999998934,0.24489677837437512,3.828215224050031,4.99322916666639
193,6,29.87447916666558,0.20383956674689874,3.8734931291929904,5.584895833333194
193,7,29.668749999998923,0.21501805221255324,3.9797239767525805,5.9817708333332735
193,8,31.190104166665538,0.270632753193853,4.072504764840758,2.3197916666658855
193,9,30.042708333332236,0.20920894278837254,3.811929747899568,5.608593749999899
193,10,30.326562499998897,0.17466672838363265,4.123659736593404,5.4442708333331655
193,11,28.63958333333231,0.18482688391038699,3.648878447588694,10.63932291666627
193,12,31.9244791666655,0.3109725050916497,4.208619603444042,0.0
193,13,31.990104166665496,0.24058044806517312,4.311266755224981,0.0
193,14,31.79583333333217,0.30817209775967414,3.868151245642177,0.0
193,15,31.72968749999884,0.2418186446954268,4.090142579319518,0.0
